"Component Count:"; "76"
"Reference"; "Quantity"; "Value"; "Footprint"
"C1, "; "1"; "1500pF"; "C_THT_K73-17_P5.00mm"
"C2, "; "1"; "0,047uF"; "C_THT_K73-17_P5.00mm"
"C3, "; "1"; "27pF"; "C_THT_K73-17_P5.00mm"
"C4, C10, "; "2"; "2200pF"; "C_THT_K73-17_P5.00mm"
"C5, "; "1"; "4700pF"; "C_THT_K73-17_P5.00mm"
"C6, "; "1"; "0,01uF"; "C_THT_K73-17_P5.00mm"
"C7, "; "1"; "0,033uF"; "C_THT_K73-17_P5.00mm"
"C8, "; "1"; "2200pF"; "C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"
"C9, "; "1"; "5,6pF"; "C_THT_K73-17_P5.00mm"
"C11, "; "1"; "3300pF"; "C_THT_K73-17_P5.00mm"
"C12, C13, "; "2"; "10uF"; "C_THT_D10.0mm_P5.00mm"
"C14, "; "1"; "100uF"; "CP_Radial_D22.0mm_P10.00mm_SnapIn"
"C15, "; "1"; "100uF_10V"; "CP_Radial_D6.3mm_P2.50mm"
"C16, C17, C18, C19, "; "4"; "6800pF"; "C_THT_K73-17_P5.00mm"
"D1, D2, D3, D4, D9, D10, "; "6"; "1n4007"; "D_DO-41_SOD81_P12.70mm_Horizontal"
"D5, D6, D7, D8, "; "4"; "10A10"; "D_DO-27_P15.24mm_Horizontal"
"J1, "; "1"; "AudioJack3"; "Jack_6.35mm_Neutrik_NMJ6HHD2_Horizontal"
"J2, "; "1"; "Input"; "PinHeader_1x02_P2.54mm"
"J3, J6, J7, J13, "; "4"; "Conn_01x04"; "PinHeader_1x04_P2.54mm"
"J4, J9, J10, "; "3"; "output"; "PinHeader_1x02_P2.54mm"
"J5, "; "1"; "220V"; "PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical"
"J8, "; "1"; "Indication"; "PinHeader_1x03_P2.54mm"
"J11, J12, "; "2"; "Conn_01x03"; "PinHeader_1x03_P2.54mm"
"L1, "; "1"; "L_Coupled"; "L_THT_PLA10"
"NE1, "; "1"; "Lamp_Neon"; "PinHeader_1x02_P2.54mm"
"R1, R12, "; "2"; "6k8"; "R_THT_025W"
"R2, "; "1"; "220R"; "R_THT_1W"
"R3, "; "1"; "4k7"; "R_THT_1W"
"R4, "; "1"; "120k"; "R_THT_025W"
"R5, "; "1"; "51k"; "R_THT_025W"
"R6, "; "1"; "2k7"; "R_THT_025W"
"R7, "; "1"; "33k"; "R_THT_025W"
"R8, R9, R11, "; "3"; "220k"; "R_THT_025W"
"R10, "; "1"; "3k3"; "R_THT_025W"
"R13, R14, R15, R16, R17, "; "5"; "1M"; "R_THT_025W"
"RV1, "; "1"; "470k"; "PinHeader_1x03_P2.54mm"
"RV2, "; "1"; "2,2M"; "Potentiometer_THT_CA9V"
"RV3, "; "1"; "1M"; "Potentiometer_THT_CA9V"
"RV4, RV5, "; "2"; "470k"; "Potentiometer_THT_CA9V"
"RV6, "; "1"; "R_Potentiometer_Dual"; "Potentiometer_Alps_RK163_Dual_Horizontal"
"SW1, "; "1"; "SW_Push"; "SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6"
"T1, "; "1"; "Transformer_SP_1S"; "Output_transformer"
"U1, "; "1"; "6N2P"; "9-pin_tube_socket"
"U2, "; "1"; "6P14P"; "9-pin_tube_socket"
"U3, U4, "; "2"; "6H2P"; "7-pin_tube_socket"
"U5, U6, "; "2"; "6E1P"; "9-pin_tube_socket"
